caseId,term,naturalCourt,petitioner,respondent,jurisdiction,threeJudgeFdc,caseOrigin,caseSource,lcDisagreement,lcDisposition,lcDispositionDirection,partyWinning,issue,issueArea,lawType,lawSupp
1946-057,1946,1301,382.0,151.0,1.0,0.0,28.0,28.0,1.0,9.0,1.0,1.0,70070.0,7.0,3.0,356.0
1946-057,1946,1301,382.0,151.0,1.0,0.0,28.0,28.0,1.0,9.0,1.0,1.0,70070.0,7.0,3.0,356.0
1946-058,1946,1301,27.0,231.0,1.0,0.0,126.0,24.0,0.0,2.0,1.0,0.0,80220.0,8.0,6.0,600.0
1946-058,1946,1301,27.0,231.0,1.0,0.0,126.0,24.0,0.0,2.0,1.0,0.0,80220.0,8.0,6.0,600.0
1946-058,1946,1301,27.0,231.0,1.0,0.0,126.0,24.0,0.0,2.0,1.0,0.0,80220.0,8.0,6.0,600.0
1946-058,1946,1301,27.0,231.0,1.0,0.0,126.0,24.0,0.0,2.0,1.0,0.0,80220.0,8.0,6.0,600.0
1946-059,1946,1301,231.0,27.0,1.0,0.0,133.0,27.0,0.0,2.0,2.0,0.0,80220.0,8.0,6.0,600.0
1946-060,1946,1301,27.0,249.0,1.0,0.0,55.0,32.0,0.0,-10.0,2.0,1.0,10080.0,1.0,6.0,600.0
1946-060,1946,1301,27.0,249.0,1.0,0.0,55.0,32.0,0.0,-10.0,2.0,0.0,10080.0,1.0,6.0,600.0
1946-060,1946,1301,27.0,249.0,1.0,0.0,55.0,32.0,0.0,-10.0,2.0,0.0,10080.0,1.0,4.0,401.0
1946-060,1946,1301,27.0,249.0,1.0,0.0,55.0,32.0,0.0,-10.0,2.0,0.0,10080.0,1.0,4.0,401.0
1946-060,1946,1301,27.0,249.0,1.0,0.0,55.0,32.0,0.0,-10.0,2.0,0.0,10080.0,1.0,3.0,310.0
1946-060,1946,1301,27.0,249.0,1.0,0.0,55.0,32.0,0.0,-10.0,2.0,0.0,10080.0,1.0,3.0,357.0
1946-060,1946,1301,27.0,249.0,1.0,0.0,55.0,32.0,0.0,-10.0,2.0,0.0,10080.0,1.0,3.0,310.0
1946-060,1946,1301,27.0,249.0,1.0,0.0,55.0,32.0,0.0,-10.0,2.0,0.0,10080.0,1.0,3.0,357.0
1946-060,1946,1301,27.0,249.0,1.0,0.0,55.0,32.0,0.0,-10.0,2.0,0.0,10080.0,1.0,3.0,357.0
1946-060,1946,1301,27.0,249.0,1.0,0.0,55.0,32.0,0.0,-10.0,2.0,0.0,10080.0,1.0,3.0,310.0
1946-060,1946,1301,27.0,249.0,1.0,0.0,55.0,32.0,0.0,-10.0,2.0,0.0,10080.0,1.0,4.0,401.0
1946-060,1946,1301,27.0,249.0,1.0,0.0,55.0,32.0,0.0,-10.0,2.0,0.0,10080.0,1.0,3.0,357.0
1946-060,1946,1301,27.0,249.0,1.0,0.0,55.0,32.0,0.0,-10.0,2.0,0.0,10080.0,1.0,4.0,401.0
1946-060,1946,1301,27.0,249.0,1.0,0.0,55.0,32.0,0.0,-10.0,2.0,0.0,10080.0,1.0,3.0,310.0
1946-060,1946,1301,27.0,249.0,1.0,0.0,55.0,32.0,0.0,-10.0,2.0,0.0,10080.0,1.0,4.0,401.0
1946-060,1946,1301,27.0,249.0,1.0,0.0,55.0,32.0,0.0,-10.0,2.0,0.0,10080.0,1.0,3.0,310.0
1946-060,1946,1301,27.0,249.0,1.0,0.0,55.0,32.0,0.0,-10.0,2.0,0.0,10080.0,1.0,3.0,357.0
1946-060,1946,1301,249.0,27.0,1.0,0.0,55.0,32.0,0.0,-10.0,1.0,0.0,10080.0,1.0,6.0,600.0
1946-060,1946,1301,249.0,27.0,1.0,0.0,55.0,32.0,0.0,-10.0,1.0,0.0,10080.0,1.0,6.0,600.0
1946-060,1946,1301,249.0,27.0,1.0,0.0,55.0,32.0,0.0,-10.0,1.0,1.0,10080.0,1.0,6.0,600.0
1946-061,1946,1301,123.0,125.0,1.0,0.0,302.0,301.0,0.0,4.0,1.0,1.0,100050.0,10.0,1.0,148.0
1946-062,1946,1301,249.0,27.0,1.0,0.0,50.0,29.0,0.0,2.0,2.0,1.0,70020.0,7.0,3.0,367.0
1946-062,1946,1301,249.0,27.0,1.0,0.0,50.0,29.0,0.0,2.0,2.0,1.0,70020.0,7.0,3.0,367.0
1946-062,1946,1301,249.0,27.0,1.0,0.0,50.0,29.0,0.0,2.0,2.0,1.0,70020.0,7.0,3.0,357.0
1946-062,1946,1301,249.0,27.0,1.0,0.0,50.0,29.0,0.0,2.0,2.0,1.0,70020.0,7.0,3.0,367.0
1946-062,1946,1301,249.0,27.0,1.0,0.0,50.0,29.0,0.0,2.0,2.0,1.0,70020.0,7.0,3.0,357.0
1946-062,1946,1301,249.0,27.0,1.0,0.0,50.0,29.0,0.0,2.0,2.0,1.0,70020.0,7.0,3.0,357.0
1946-062,1946,1301,249.0,27.0,1.0,0.0,50.0,29.0,0.0,2.0,2.0,1.0,70020.0,7.0,3.0,357.0
1946-062,1946,1301,249.0,27.0,1.0,0.0,50.0,29.0,0.0,2.0,2.0,1.0,70020.0,7.0,3.0,357.0
1946-062,1946,1301,243.0,27.0,1.0,0.0,50.0,29.0,0.0,2.0,2.0,1.0,70020.0,7.0,3.0,367.0
1946-062,1946,1301,243.0,27.0,1.0,0.0,50.0,29.0,0.0,2.0,2.0,1.0,70020.0,7.0,3.0,367.0
1946-063,1946,1301,19.0,25.0,1.0,0.0,302.0,301.0,0.0,2.0,1.0,0.0,80100.0,8.0,1.0,111.0
1946-063,1946,1301,19.0,25.0,1.0,0.0,302.0,301.0,0.0,2.0,1.0,0.0,80100.0,8.0,1.0,111.0
1946-064,1946,1301,116.0,145.0,1.0,0.0,96.0,22.0,0.0,2.0,2.0,0.0,80050.0,8.0,6.0,600.0
1946-064,1946,1301,27.0,116.0,4.0,0.0,94.0,22.0,0.0,-10.0,2.0,0.0,80050.0,8.0,-10.0,-1000.0
1946-064,1946,1301,27.0,116.0,4.0,0.0,94.0,22.0,0.0,-10.0,2.0,0.0,80050.0,8.0,3.0,349.0
1946-065,1946,1301,171.0,145.0,1.0,0.0,116.0,26.0,0.0,11.0,1.0,1.0,90140.0,9.0,6.0,600.0
1946-066,1946,1301,331.0,171.0,1.0,0.0,55.0,32.0,1.0,3.0,1.0,1.0,80040.0,8.0,1.0,143.0
1946-066,1946,1301,331.0,171.0,1.0,0.0,55.0,32.0,1.0,3.0,1.0,1.0,80040.0,8.0,2.0,207.0
1946-067,1946,1301,189.0,382.0,1.0,0.0,26.0,26.0,0.0,2.0,2.0,0.0,70070.0,7.0,3.0,356.0
1946-068,1946,1301,198.0,122.0,1.0,0.0,96.0,22.0,1.0,3.0,1.0,1.0,90140.0,9.0,-10.0,-1000.0
1946-069,1946,1301,237.0,171.0,1.0,0.0,94.0,22.0,1.0,2.0,2.0,0.0,90140.0,9.0,4.0,400.0
1946-070,1946,1301,304.0,102.0,1.0,0.0,302.0,300.0,0.0,2.0,1.0,1.0,120030.0,12.0,6.0,600.0
1946-071,1946,1301,371.0,151.0,1.0,0.0,103.0,26.0,0.0,2.0,1.0,0.0,70040.0,7.0,3.0,334.0
1946-072,1946,1301,177.0,4.0,2.0,0.0,302.0,300.0,0.0,2.0,1.0,0.0,20060.0,2.0,2.0,231.0
1946-073,1946,1301,366.0,116.0,2.0,1.0,66.0,66.0,0.0,3.0,2.0,0.0,80230.0,8.0,3.0,343.0
1946-073,1946,1301,366.0,116.0,2.0,1.0,66.0,66.0,0.0,3.0,2.0,0.0,80230.0,8.0,6.0,600.0
1946-074,1946,1301,185.0,405.0,1.0,0.0,29.0,29.0,0.0,3.0,2.0,0.0,10080.0,1.0,6.0,600.0
1946-074,1946,1301,185.0,405.0,1.0,0.0,29.0,29.0,0.0,3.0,2.0,0.0,10080.0,1.0,4.0,400.0
1946-075,1946,1301,253.0,168.0,1.0,0.0,302.0,300.0,0.0,2.0,3.0,0.0,110030.0,11.0,1.0,143.0
1946-076,1946,1301,4.0,151.0,1.0,0.0,302.0,300.0,0.0,2.0,3.0,1.0,110030.0,11.0,1.0,143.0
1946-077,1946,1301,100.0,27.0,1.0,0.0,66.0,27.0,1.0,2.0,1.0,0.0,10600.0,1.0,1.0,142.0
1946-078,1946,1301,145.0,151.0,1.0,0.0,302.0,300.0,0.0,3.0,1.0,0.0,70040.0,7.0,3.0,334.0
1946-078,1946,1301,145.0,151.0,1.0,0.0,302.0,300.0,0.0,3.0,1.0,0.0,70040.0,7.0,3.0,352.0
1946-079,1946,1301,245.0,145.0,1.0,0.0,96.0,22.0,0.0,4.0,2.0,1.0,70040.0,7.0,3.0,352.0
1946-079,1946,1301,245.0,145.0,1.0,0.0,96.0,22.0,0.0,4.0,2.0,1.0,70040.0,7.0,4.0,400.0
1946-079,1946,1301,245.0,145.0,1.0,0.0,96.0,22.0,0.0,4.0,2.0,1.0,70040.0,7.0,3.0,334.0
1946-080,1946,1301,27.0,240.0,1.0,0.0,77.0,25.0,0.0,2.0,1.0,0.0,120010.0,12.0,6.0,600.0
1946-081,1946,1301,27.0,100.0,2.0,0.0,51.0,51.0,0.0,-10.0,2.0,1.0,10480.0,1.0,6.0,600.0
1946-082,1946,1301,349.0,237.0,1.0,0.0,55.0,32.0,0.0,3.0,2.0,0.0,90320.0,9.0,4.0,400.0
1946-083,1946,1301,158.0,184.0,1.0,0.0,302.0,300.0,0.0,2.0,1.0,0.0,80010.0,8.0,3.0,364.0
1946-084,1946,1301,151.0,4.0,2.0,0.0,302.0,300.0,0.0,2.0,1.0,1.0,100030.0,10.0,3.0,356.0
1946-084,1946,1301,151.0,145.0,2.0,0.0,302.0,300.0,0.0,2.0,1.0,1.0,100120.0,10.0,1.0,111.0
1946-084,1946,1301,151.0,145.0,2.0,0.0,302.0,300.0,0.0,2.0,1.0,1.0,100030.0,10.0,3.0,356.0
1946-084,1946,1301,151.0,145.0,2.0,0.0,302.0,300.0,0.0,2.0,1.0,1.0,100120.0,10.0,1.0,111.0
1946-085,1946,1301,240.0,369.0,1.0,0.0,9.0,22.0,0.0,3.0,2.0,0.0,120010.0,12.0,3.0,345.0
1946-086,1946,1301,371.0,151.0,1.0,0.0,51.0,29.0,0.0,2.0,1.0,0.0,70040.0,7.0,3.0,334.0
1946-087,1946,1301,135.0,135.0,1.0,0.0,111.0,23.0,0.0,3.0,2.0,1.0,80030.0,8.0,3.0,307.0
1946-088,1946,1301,151.0,250.0,1.0,0.0,104.0,26.0,0.0,2.0,2.0,1.0,20250.0,2.0,3.0,366.0
1946-089,1946,1301,122.0,3.0,2.0,0.0,302.0,300.0,0.0,3.0,2.0,0.0,80100.0,8.0,2.0,231.0
1946-089,1946,1301,122.0,3.0,2.0,0.0,302.0,300.0,0.0,3.0,2.0,0.0,80100.0,8.0,1.0,111.0
1946-089,1946,1301,122.0,3.0,2.0,0.0,302.0,300.0,0.0,3.0,2.0,0.0,80100.0,8.0,2.0,230.0
1946-090,1946,1301,177.0,172.0,1.0,0.0,51.0,29.0,0.0,9.0,1.0,1.0,90380.0,9.0,6.0,600.0
1946-091,1946,1301,389.0,195.0,2.0,0.0,120.0,120.0,0.0,-10.0,1.0,1.0,90340.0,9.0,6.0,600.0
1946-091,1946,1301,389.0,195.0,2.0,0.0,120.0,120.0,0.0,-10.0,1.0,1.0,90340.0,9.0,6.0,600.0
1946-091,1946,1301,389.0,195.0,2.0,0.0,120.0,120.0,0.0,-10.0,1.0,1.0,90340.0,9.0,6.0,600.0
1946-092,1946,1301,389.0,120.0,1.0,0.0,81.0,26.0,0.0,2.0,2.0,1.0,10360.0,1.0,4.0,400.0
1946-092,1946,1301,389.0,120.0,1.0,0.0,81.0,26.0,0.0,2.0,2.0,1.0,10360.0,1.0,6.0,600.0
1946-092,1946,1301,389.0,120.0,1.0,0.0,81.0,26.0,0.0,2.0,2.0,1.0,10360.0,1.0,4.0,400.0
1946-092,1946,1301,389.0,120.0,1.0,0.0,81.0,26.0,0.0,2.0,2.0,1.0,10360.0,1.0,5.0,511.0
1946-092,1946,1301,389.0,120.0,1.0,0.0,81.0,26.0,0.0,2.0,2.0,1.0,10360.0,1.0,6.0,600.0
1946-092,1946,1301,158.0,389.0,1.0,0.0,55.0,32.0,0.0,2.0,1.0,0.0,10360.0,1.0,5.0,511.0
